2:178-179 Al-Baqarah:178-179;
8:45-47 Al-Anfāl:45-47;
8:45-46 Al-Anfāl:45-46;
8:45-48 Al-Anfāl:45-48;
8:45 Al-Anfāl:45;
8:46-47 Al-Anfāl:46-47;
8:46-48 Al-Anfāl:46-48;
8:46 Al-Anfāl:46;
8:47-48 Al-Anfāl:47-48;
8:47 Al-Anfāl:47;
8:48 Al-Anfāl:48;
8:57-60 Al-Anfāl:57-60;
8:57 Al-Anfāl:57;
8:58-59 Al-Anfāl:58-59;
8:58-60 Al-Anfāl:58-60;
8:58 Al-Anfāl:58;
8:59-60 Al-Anfāl:59-60;
8:59 Al-Anfāl:59;
8:60 Al-Anfāl:60;
8:65-75 Al-Anfāl:65-75;
8:65 Al-Anfāl:65;
8:66-74 Al-Anfāl:66-74;
8:66-73 Al-Anfāl:66-73;
8:66-72 Al-Anfāl:66-72;
8:66-71 Al-Anfāl:66-71;
8:66-70 Al-Anfāl:66-70;
8:66-69 Al-Anfāl:66-69;
8:66-68 Al-Anfāl:66-68;
8:66-67 Al-Anfāl:66-67;
8:66-75 Al-Anfāl:66-75;
8:66 Al-Anfāl:66;
8:67-74 Al-Anfāl:67-74;
8:67-73 Al-Anfāl:67-73;
8:67-72 Al-Anfāl:67-72;
8:67-71 Al-Anfāl:67-71;
8:67-70 Al-Anfāl:67-70;
8:67-69 Al-Anfāl:67-69;
8:67-68 Al-Anfāl:67-68;
8:67-75 Al-Anfāl:67-75;
8:67 Al-Anfāl:67;
8:68-74 Al-Anfāl:68-74;
8:68-73 Al-Anfāl:68-73;
8:68-72 Al-Anfāl:68-72;
8:68-71 Al-Anfāl:68-71;
8:68-70 Al-Anfāl:68-70;
8:68-69 Al-Anfāl:68-69;
8:68-75 Al-Anfāl:68-75;
8:68 Al-Anfāl:68;
8:69-74 Al-Anfāl:69-74;
8:69-73 Al-Anfāl:69-73;
8:69-72 Al-Anfāl:69-72;
8:69-71 Al-Anfāl:69-71;
8:69-70 Al-Anfāl:69-70;
8:69-75 Al-Anfāl:69-75;
8:69 Al-Anfāl:69;
8:70-74 Al-Anfāl:70-74;
8:70-73 Al-Anfāl:70-73;
8:70-72 Al-Anfāl:70-72;
8:70-71 Al-Anfāl:70-71;
8:70-75 Al-Anfāl:70-75;
8:70 Al-Anfāl:70;
8:71-74 Al-Anfāl:71-74;
8:71-73 Al-Anfāl:71-73;
8:71-72 Al-Anfāl:71-72;
8:71-75 Al-Anfāl:71-75;
8:71 Al-Anfāl:71;
8:72-74 Al-Anfāl:72-74;
8:72-73 Al-Anfāl:72-73;
8:72-75 Al-Anfāl:72-75;
8:72 Al-Anfāl:72;
8:73-74 Al-Anfāl:73-74;
8:73-75 Al-Anfāl:73-75;
8:73 Al-Anfāl:73;
8:74-75 Al-Anfāl:74-75;
8:74 Al-Anfāl:74;
8:75 Al-Anfāl:75;
9:5 At-Tawbah:5;
9:12-14 At-Tawbah:12-14;
9:12 At-Tawbah:12;
9:13-14 At-Tawbah:13-14;
9:13 At-Tawbah:13;
9:14 At-Tawbah:14;
9:16 At-Tawbah:16;
9:19-20 At-Tawbah:19-20;
9:19 At-Tawbah:19;
9:20 At-Tawbah:20;
9:24-26 At-Tawbah:24-26;
9:24 At-Tawbah:24;
9:25-26 At-Tawbah:25-26;
9:25 At-Tawbah:25;
9:26 At-Tawbah:26;
9:29 At-Tawbah:29;
9:36 At-Tawbah:36;
9:38-39 At-Tawbah:38-39;
9:38 At-Tawbah:38;
9:39 At-Tawbah:39;
9:41 At-Tawbah:41;
9:44 At-Tawbah:44;
9:52 At-Tawbah:52;
9:73 At-Tawbah:73;
9:81 At-Tawbah:81;
9:83 At-Tawbah:83;
9:86 At-Tawbah:86;
9:88 At-Tawbah:88;
9:92 At-Tawbah:92;
9:111 At-Tawbah:111;
9:120 At-Tawbah:120;
9:122-123 At-Tawbah:122-123;
9:122 At-Tawbah:122;
9:123 At-Tawbah:123;
16:110 An-Nahl:110;
22:39 Al-Hajj:39;
22:58 Al-Hajj:58;
22:78 Al-Hajj:78;
24:53 An-Nūr:53;
24:55 An-Nūr:55;
25:52 Al-Furqān:52;
29:6 Al-‘Ankabūt:6;
29:69 Al-‘Ankabūt:69;
33:15 Al-Ahzāb:15;
33:18 Al-Ahzāb:18;
33:20 Al-Ahzāb:20;
33:23 Al-Ahzāb:23;
33:25-27 Al-Ahzāb:25-27;
33:25 Al-Ahzāb:25;
33:26-27 Al-Ahzāb:26-27;
33:26 Al-Ahzāb:26;
33:27 Al-Ahzāb:27;
33:50 Al-Ahzāb:50;
42:39 Ash-Shūrā:39;
47:4 Muhammad:4;
47:20 Muhammad:20;
47:35 Muhammad:35;
48:15-24 al-Fath:15-24;
48:15 al-Fath:15;
48:16-23 al-Fath:16-23;
48:16-22 al-Fath:16-22;
48:16-21 al-Fath:16-21;
48:16-20 al-Fath:16-20;
48:16-19 al-Fath:16-19;
48:16-18 al-Fath:16-18;
48:16-17 al-Fath:16-17;
48:16-24 al-Fath:16-24;
48:16 al-Fath:16;
48:17-23 al-Fath:17-23;
48:17-22 al-Fath:17-22;
48:17-21 al-Fath:17-21;
48:17-20 al-Fath:17-20;
48:17-19 al-Fath:17-19;
48:17-18 al-Fath:17-18;
48:17-24 al-Fath:17-24;
48:17 al-Fath:17;
48:18-23 al-Fath:18-23;
48:18-22 al-Fath:18-22;
48:18-21 al-Fath:18-21;
48:18-20 al-Fath:18-20;
48:18-19 al-Fath:18-19;
48:18-24 al-Fath:18-24;
48:18 al-Fath:18;
48:19-23 al-Fath:19-23;
48:19-22 al-Fath:19-22;
48:19-21 al-Fath:19-21;
48:19-20 al-Fath:19-20;
48:19-24 al-Fath:19-24;
48:19 al-Fath:19;
48:20-23 al-Fath:20-23;
48:20-22 al-Fath:20-22;
48:20-21 al-Fath:20-21;
48:20-24 al-Fath:20-24;
48:20 al-Fath:20;
48:21-23 al-Fath:21-23;
48:21-22 al-Fath:21-22;
48:21-24 al-Fath:21-24;
48:21 al-Fath:21;
48:22-23 al-Fath:22-23;
48:22-24 al-Fath:22-24;
48:22 al-Fath:22;
48:23-24 al-Fath:23-24;
48:23 al-Fath:23;
48:24 al-Fath:24;
49:15 Al-Hujurāt:15;
59:2 Al-Hashr:2;
59:5-8 Al-Hashr:5-8;
59:5 Al-Hashr:5;
59:6-7 Al-Hashr:6-7;
59:6-8 Al-Hashr:6-8;
59:6 Al-Hashr:6;
59:7-8 Al-Hashr:7-8;
59:7 Al-Hashr:7;
59:8 Al-Hashr:8;
59:14 Al-Hashr:14;
60:9 Al-Mumtahana:9;
61:4 As-Saff:4;
61:11 As-Saff:11;
61:13 As-Saff:13;
63:4 Al-Munāfiqūn:4;
64:14 At-Taghābun:14;
66:9 At-Tahrīm:9;
73:20 Al-Muzzammil:20;
76:8 Al-Insān:8;
